Country,Life_Expectancy,Mean_Years_Schooling,GNI_Per_Capita,HDI_Score
Switzerland,84.3,13.9,66933,0.967
Norway,83.2,13.0,64660,0.966
Iceland,82.7,13.8,55782,0.959
Hong Kong,85.2,12.2,62486,0.959
Australia,83.6,12.7,49238,0.949
Denmark,81.3,13.0,60285,0.948
Sweden,83.5,12.6,54309,0.947
Ireland,82.0,11.6,76169,0.941
Germany,80.7,14.1,54534,0.942
Netherlands,81.5,12.6,55979,0.941
Singapore,83.4,11.9,90919,0.949
Canada,82.7,13.2,46808,0.935
United States,77.2,13.7,64719,0.921
United Kingdom,80.7,13.4,45225,0.929
Japan,84.8,13.4,42274,0.920
South Korea,83.7,12.5,44501,0.926
Israel,82.6,13.3,41524,0.915
Sub-Saharan Test1,60.2,5.4,2100,0.450
South Asia Test1,68.5,6.8,4500,0.580
Latin Test1,72.1,8.9,9800,0.720
